time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
56,2000-08-18 10:58,3649,3519,130,1878,0,1641,11,450,8.108889,20,14,4.7610116,12,4.5740266,178,2879,90.42696,1,2,2789,4,1.3083543,305,113,11,189,1270,305,1126,16,3207,285,1970,71,6,151,80,8,1237,113,172,259,1711,11,1.0802959,1622,420,1071,258,70,10,24,9,5
57,2000-08-18 10:59,1498,1001,497,552,0,449,11,233,6.4291844,18,14,5.3346653,14,5.11988,156,689,32.852566,1,4,877,4,1.7080958,299,375,144,158,65,158,58,6,702,298,531,61,34,158,214,116,171,117,181,310,221,10,0.512016,722,77,77,65,13,24,9,1,2
58,2000-08-18 11:00,1451,788,663,395,0,393,11,238,6.0966387,23,14,5.2309647,11,4.961929,136,466,28.75,1,3,930,4,1.560215,329,427,120,113,130,95,115,18,458,329,320,129,175,82,294,219,138,226,103,62,258,10,0.62577534,491,48,76,81,42,21,17,3,4
59,2000-08-18 11:01,1192,1124,68,823,0,301,11,306,3.8954248,22,15,4.869217,9,4.655694,144,573,36.34028,1,2,859,5,1.38766,318,63,6,132,117,89,108,1,805,318,495,131,4,108,39,5,310,157,161,252,243,12,0.6568792,832,68,84,77,22,26,10,2,
60,2000-08-18 11:02,1166,1104,62,545,0,559,11,343,3.399417,19,19,4.8469205,12,4.272645,137,493,34.430656,1,1,919,4,1.2687705,222,58,8,242,212,148,202,11,871,222,754,52,3,141,49,4,117,25,197,271,483,13,1.4339622,473,240,125,107,44,32,21,22,26
61,2000-08-18 11:03,2389,1695,694,710,0,985,11,390,6.125641,25,20,5.2082596,13,4.663127,159,753,49.710693,1,14,1654,4,1.4443773,386,440,106,142,549,117,480,2,1307,386,1137,103,114,356,332,254,170,185,201,382,755,15,0.960653,748,386,161,213,95,46,21,5,7
62,2000-08-18 11:04,1726,1355,371,976,0,379,11,350,4.9314284,22,20,4.78893,13,4.4428043,155,685,38.83871,1,3,1249,4,1.3819056,194,176,23,150,193,142,169,5,1156,194,753,100,174,187,151,195,403,81,113,235,518,14,0.8400927,749,261,108,117,45,27,32,2,
63,2000-08-18 11:05,1870,1757,113,990,0,767,11,348,5.3735633,23,16,5.5008535,10,5.108139,152,1093,59.04605,1,6,1445,4,1.2941177,337,84,3,211,255,121,234,18,1406,329,875,141,25,266,76,25,531,278,51,223,652,13,0.931016,1039,322,123,131,25,21,40,9,
64,2000-08-18 11:06,928,836,92,551,0,285,11,245,3.787755,19,15,4.8098087,9,4.415072,136,437,27.139706,1,1,738,4,1.2574526,175,62,4,160,169,111,149,11,650,173,437,26,28,89,51,30,213,111,62,76,361,13,1.2306035,409,111,176,50,9,12,31,7,
65,2000-08-18 11:07,2012,1780,232,922,0,858,11,551,3.6515427,16,14,5.0179777,10,4.6039324,184,940,44.538044,1,10,1468,6,1.3705722,82,131,50,519,429,493,378,14,1684,78,1458,10,14,87,80,101,226,23,55,450,1008,16,1.2743539,721,447,296,123,48,19,27,17,26
66,2000-08-18 11:08,2026,1761,265,796,0,965,11,576,3.5173612,20,12,5.0743895,10,4.8904033,171,868,50.36257,1,2,1602,3,1.2646692,157,230,8,205,702,191,691,13,1591,157,1081,17,23,329,220,35,510,62,95,145,936,12,0.9190523,777,519,179,189,45,24,8,1,1
